,50_50,bad_behaviour_card,ball_receipt_outcome,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
998,,,,,,,,,,,,,,,,,,2.677661,,,,,,,,,,,,,,fe59446c-4728-4444-9466-27c8f72a7815,3400,,"[40.4, 77.0]",3895134,83,,,,-0.64186084,,Right Foot,,,,"[69.7, 55.1]",,High Pass,36.580048,,,Incomplete,,,,,,,,,,2,From Throw In,Josip Stanišić,49337.0,Right Center Back,139,Bayer Leverkusen,904,['34dc471b-04fe-43ca-bb48-567d8f39f0c5'],9,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:38:09.738,Pass,
999,,,,,,,,,,,,,,,,,,3.224013,,,,,,,,,,,,,,53889dc9-871f-4ce0-917a-162cf3071c42,3403,,"[47.7, 26.3]",3895134,83,,,,2.741773,,Right Foot,,,,"[16.7, 39.4]",,Low Pass,33.65427,,,,,Oliver Baumann,8393.0,,,,,,,2,Regular Play,Ozan Muhammed Kabak,20770.0,Right Center Back,140,Hoffenheim,175,['bb1c662d-2fd0-4daa-aa35-ca11ac5f6669'],13,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:38:13.130,Pass,
1000,,,,,,,,,,,,,,,,,,1.386464,,,,,,,,,,,,,,59fe871c-c30a-4d37-af20-3ce7bc41a147,3406,,"[16.7, 39.4]",3895134,83,,,,-0.3582307,,Right Foot,,,,"[37.0, 31.8]",,Ground Pass,21.676023,,,,,Anton Stach,48644.0,,,,,,,2,Regular Play,Oliver Baumann,8393.0,Goalkeeper,140,Hoffenheim,175,['ea70cfca-002c-413b-9883-f50effcbf19d'],19,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:38:19.610,Pass,
1001,,,,,,,,,,,,,,,,,,1.49055,,,,,,,,,,,,,,63de8124-ab8c-4f6a-b1b2-76618ed33845,3410,,"[36.4, 32.0]",3895134,83,,,,3.022541,,Right Foot,,,,"[15.5, 34.5]",,Ground Pass,21.04899,,,,,Oliver Baumann,8393.0,,,,,,,2,Regular Play,Anton Stach,48644.0,Center Defensive Midfield,140,Hoffenheim,175,['4375eff2-34fd-4152-8571-536f5cbdaec6'],21,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:38:21.572,Pass,
1002,,,,,,,,,,,,,,,,,,1.281094,,,,,,,,,,,,,,7de9d775-3e7a-4767-b783-2dc6036357c5,3413,,"[15.9, 29.6]",3895134,83,,,,-0.12345652,,Right Foot,,,,"[29.6, 27.9]",,Ground Pass,13.805072,,,,,Grischa Prömel,9159.0,,,,,,,2,Regular Play,Oliver Baumann,8393.0,Goalkeeper,140,Hoffenheim,175,['edc58533-08b1-43e1-961b-b01b1b29a1d4'],24,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:38:24.850,Pass,
1003,,,,,,,,,,,,,,,,,,4.594906,,,,,,,,,,,,,,2b4e707d-6170-4d9a-8da1-a53ef23016cc,3416,,"[38.8, 28.7]",3895134,83,,,,1.4436041,,Right Foot,,,,"[44.9, 76.4]",,Low Pass,48.08846,,,,,Ozan Muhammed Kabak,20770.0,,,True,,,,2,Regular Play,Grischa Prömel,9159.0,Left Center Midfield,140,Hoffenheim,175,['f6574bf6-38ea-436c-9c1c-722f3357e8d4'],30,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:38:30.159,Pass,
1004,,,,,,,,,,,,,,,,,,1.78991,,,,,,,,,,,,,,87d7620b-abfc-4fbd-a1a2-c16367b00c4b,3419,,"[44.9, 76.4]",3895134,83,,,,-2.1073623,,Right Foot,,,,"[35.8, 61.1]",,Ground Pass,17.801685,,,,,Kevin Vogt,8397.0,,,,,,,2,Regular Play,Ozan Muhammed Kabak,20770.0,Right Center Back,140,Hoffenheim,175,['5b122ef6-6fac-489a-9bcf-aec5b9ed6a04'],36,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:38:36.232,Pass,
1005,,,,,,,,,,,,,,,,,,0.845256,,,,,,,,,,,,,,a06fc646-5232-4e39-bd76-4311902fc72e,3423,,"[37.7, 64.3]",3895134,83,,,,1.1518949,,Right Foot,,,,"[43.8, 78.0]",,Ground Pass,14.996666,,,,,Ozan Muhammed Kabak,20770.0,,,,,,,2,Regular Play,Kevin Vogt,8397.0,Center Back,140,Hoffenheim,175,['59ba6635-ca97-420c-9993-2612e00809bf'],40,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:38:40.893,Pass,
1006,,,,,,,,,,,,,,,,,,2.47631,,,,,,,,,,,,,,fb08af1d-7e14-498b-8681-e8484bc1535a,3426,,"[43.8, 78.0]",3895134,83,,,,-2.4516885,,Right Foot,,,,"[15.2, 54.4]",,Ground Pass,37.079914,,,,,Oliver Baumann,8393.0,,,,,,,2,Regular Play,Ozan Muhammed Kabak,20770.0,Right Center Back,140,Hoffenheim,175,['1c8f3357-8847-4f9e-9315-8d5bfe9356e1'],44,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:38:44.140,Pass,
1007,,,,,,,,,,,,,,,,,,1.770019,,,,,,,,,,,,,,c039e2f6-2058-4a50-97fd-51aec0aa05a6,3428,,"[15.2, 54.4]",3895134,83,,,,-1.0365591,,Right Foot,,,,"[26.5, 35.3]",,Ground Pass,22.19234,,,,,Kevin Akpoguma,13292.0,,,,,,,2,Regular Play,Oliver Baumann,8393.0,Goalkeeper,140,Hoffenheim,175,['e2e3a1e9-da3f-4881-a5b6-ee8b305b91ce'],46,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:38:46.617,Pass,
